sentence_id,model,aer,total_missing,primary_category,confidence,SUBJECT_VERB,MWE_PHRASES,MWE_ENTITIES,FUNCTION_WORDS,HIGH_FERTILITY,GOLD_ERROR
a10215,A2,0.19999999999999996,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a1005,A2,0.07692307692307687,1,SUBJECT_VERB,high,1,1,0,0,0,0
a10419,A2,0.09090909090909094,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a10065,A2,0.1428571428571429,2,MWE_PHRASES,high,0,1,0,0,0,0
a10423,A2,0.06666666666666665,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a10458,A2,0.25,1,SUBJECT_VERB,high,1,0,0,0,0,0
a10711,A2,0.1578947368421053,3,MWE_PHRASES,high,0,1,0,1,0,0
a10691,A2,0.19999999999999996,2,MWE_PHRASES,high,0,1,0,1,0,0
a10837,A2,0.07692307692307687,1,MWE_PHRASES,high,0,1,0,0,0,0
a10855,A2,0.07692307692307687,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a10994,A2,0.11111111111111116,2,FUNCTION_WORDS,medium,0,0,0,1,0,0
a10553,A2,0.5,3,FUNCTION_WORDS,high,0,0,0,1,0,0
a1102,A2,0.07692307692307687,1,SUBJECT_VERB,high,1,0,0,0,0,0
a11219,A2,0.07692307692307687,1,HIGH_FERTILITY,high,1,0,0,0,1,0
a11472,A2,0.4666666666666667,5,SUBJECT_VERB,high,1,0,0,1,0,0
a11562,A2,0.19999999999999996,2,HIGH_FERTILITY,high,1,1,0,0,1,0
a12187,A2,0.07692307692307687,1,SUBJECT_VERB,high,1,0,0,0,0,0
a12287,A2,0.25,2,HIGH_FERTILITY,high,1,1,0,0,1,0
a12308,A2,0.07692307692307687,1,MWE_PHRASES,high,0,1,0,0,0,0
a11629,A2,0.19999999999999996,2,SUBJECT_VERB,high,1,1,0,0,0,0
a12710,A2,0.09090909090909094,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a12021,A2,0.16666666666666663,2,MWE_PHRASES,high,0,1,0,1,0,0
a11895,A2,0.07692307692307687,1,HIGH_FERTILITY,high,0,1,0,1,1,0
a12216,A2,0.1428571428571429,1,FUNCTION_WORDS,high,0,0,0,0,0,0
a12540,A2,0.11111111111111116,1,MWE_PHRASES,high,0,1,0,0,0,0
a12479,A2,0.1428571428571429,1,SUBJECT_VERB,high,1,0,0,1,0,0
a1208,A2,0.2222222222222222,3,HIGH_FERTILITY,high,0,1,0,1,1,0
a12912,A2,0.09090909090909094,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a12749,A2,0.11111111111111116,1,SUBJECT_VERB,high,1,0,0,0,0,0
a12943,A2,0.25,4,HIGH_FERTILITY,high,1,0,0,1,1,0
a12725,A2,0.1428571428571429,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a13474,A2,0.25,2,SUBJECT_VERB,high,1,1,0,0,0,0
a13635,A2,0.07692307692307687,1,HIGH_FERTILITY,high,1,0,0,1,1,0
a12867,A2,0.1428571428571429,2,MWE_PHRASES,high,0,1,0,1,0,0
a1289,A2,0.19999999999999996,1,MWE_PHRASES,high,0,1,0,0,0,0
a2027,A2,0.17647058823529416,3,MWE_PHRASES,high,0,1,0,1,0,0
a13229,A2,0.19999999999999996,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a13387,A2,0.25,2,HIGH_FERTILITY,high,1,1,0,0,1,0
