sentence_id,model,aer,total_missing,primary_category,confidence,SUBJECT_VERB,MWE_PHRASES,MWE_ENTITIES,FUNCTION_WORDS,HIGH_FERTILITY,GOLD_ERROR
a10553,C1,0.4,3,GOLD_ERROR,high,0,0,0,1,0,1
a10630,C1,0.09090909090909094,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a1005,C1,0.07692307692307687,1,SUBJECT_VERB,high,1,1,0,0,0,0
a10065,C1,0.1428571428571429,2,MWE_PHRASES,high,0,1,0,0,0,0
a10215,C1,0.19999999999999996,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a10273,C1,0.11111111111111116,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a10419,C1,0.09090909090909094,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a10423,C1,0.1428571428571429,2,FUNCTION_WORDS,high,0,0,0,1,0,0
a10458,C1,0.25,1,SUBJECT_VERB,high,1,0,0,0,0,0
a10691,C1,0.19999999999999996,2,MWE_PHRASES,high,0,1,0,1,0,0
a10711,C1,0.1578947368421053,3,MWE_PHRASES,high,0,1,0,1,0,0
a10837,C1,0.16666666666666663,2,MWE_PHRASES,high,0,1,0,1,0,0
a10855,C1,0.07692307692307687,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a10994,C1,0.17647058823529416,3,FUNCTION_WORDS,high,0,1,0,1,0,0
a1102,C1,0.07692307692307687,1,SUBJECT_VERB,high,1,0,0,0,0,0
a11219,C1,0.07692307692307687,1,HIGH_FERTILITY,high,1,0,0,0,1,0
a11472,C1,0.33333333333333337,4,SUBJECT_VERB,high,1,0,0,1,0,0
a11562,C1,0.19999999999999996,2,HIGH_FERTILITY,high,1,1,0,0,1,0
a11629,C1,0.19999999999999996,2,SUBJECT_VERB,high,1,1,0,0,0,0
a11671,C1,0.1428571428571429,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a11865,C1,0.19999999999999996,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a11895,C1,0.33333333333333337,3,HIGH_FERTILITY,high,0,1,0,0,1,0
a11971,C1,0.1428571428571429,1,SUBJECT_VERB,high,1,0,0,0,0,0
a12021,C1,0.2727272727272727,3,MWE_PHRASES,high,0,1,0,1,0,0
a1208,C1,0.2222222222222222,3,GOLD_ERROR,high,0,1,0,1,1,1
a12164,C1,0.1428571428571429,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a12186,C1,0.19999999999999996,1,MWE_PHRASES,high,0,1,0,0,0,0
a12187,C1,0.07692307692307687,1,SUBJECT_VERB,high,1,0,0,0,0,0
a12216,C1,0.1428571428571429,1,FUNCTION_WORDS,high,0,0,0,0,0,0
a12287,C1,0.25,2,HIGH_FERTILITY,high,1,1,0,1,1,0
a12308,C1,0.07692307692307687,1,MWE_PHRASES,high,0,1,0,0,0,0
a12540,C1,0.11111111111111116,1,MWE_PHRASES,high,0,1,0,0,0,0
a12710,C1,0.09090909090909094,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a12725,C1,0.1428571428571429,1,FUNCTION_WORDS,high,0,0,0,1,0,0
a12749,C1,0.11111111111111116,1,SUBJECT_VERB,high,1,0,0,0,0,0
a12867,C1,0.1428571428571429,2,MWE_PHRASES,high,0,1,0,1,0,0
